z,mu,sigma_mu
0.00122,28.9987,1.51645
0.00465,32.033,0.420403
0.00602,31.9102,0.350249
0.00677,32.2048,0.34795
0.00818,32.484,0.342662
0.00954,33.2135,0.253629
0.01061,33.2931,0.27457
0.01279,33.7492,0.416658
0.01411,33.8206,0.250873
0.01499,33.9261,0.231708
0.01578,34.0697,0.290382
0.0169,33.841,0.289311
0.01776,34.2221,0.320412
0.01947,34.8085,0.195531
0.02049,35.1263,0.375783
0.02153,34.6114,0.393324
0.0224,34.7997,0.25527
0.02342,34.9783,0.225403
0.02417,35.084,0.183555
0.0251,34.8369,0.288042
0.02596,35.4014,0.200491
0.0274,35.3042,0.352852
0.02849,35.2913,0.178243
0.0295,35.3638,0.283742
0.03091,35.4926,0.166476
0.03147,35.9119,0.273901
0.0329,35.7248,0.15355
0.03451,35.9757,0.358083
0.03682,35.9282,0.1566
0.03818,35.8617,0.152703
0.04222,36.2101,0.208042
0.04575,36.4634,0.173532
0.04934,36.5997,0.202684
0.05309,36.7752,0.161766
0.06099,37.1925,0.16057
0.07073,37.4787,0.176182
0.07859,37.8315,0.146078
0.0995,38.4377,0.194713
0.1176,38.5727,0.239635
0.1271,38.6849,0.280884
0.1384,39.0229,0.12425
0.14778,39.161,0.170177
0.15921,39.4267,0.283686
0.17124,39.5424,0.275502
0.17852,39.9669,0.207864
0.18252,39.7821,0.177319
0.18948,39.7413,0.209197
0.19828,39.8879,0.174409
0.20469,39.8809,0.160012
0.212,39.9136,0.194498
0.2195,40.1098,0.160031
0.22645,40.3912,0.201078
0.23472,40.1912,0.32799
0.2422,40.564,0.221356
0.24862,40.3657,0.261564
0.2562,40.5593,0.271675
0.26175,40.392,0.226027
0.26887,40.6039,0.217156
0.28132,40.6224,0.174763
0.28907,40.702,0.277224
0.29695,40.7505,0.210501
0.30526,40.5924,0.306711
0.31262,40.9565,0.149709
0.32118,41.1921,0.293444
0.32952,41.2391,0.162498
0.33671,41.0367,0.18424
0.3491,41.2499,0.158604
0.35909,41.4429,0.171109
0.37053,41.3833,0.160025
0.38248,41.3726,0.265174
0.40646,41.6914,0.168815
0.42195,41.5336,0.270821
0.4376,41.6253,0.16614
0.45218,41.9959,0.320076
0.47946,42.0107,0.198987
0.50739,42.2419,0.288822
0.53124,42.5253,0.38093
0.55882,42.7331,0.3833
0.58067,42.573,0.262496
0.61071,42.6686,0.184238
0.64185,42.8476,0.256941
0.69718,42.9692,0.212738
0.73161,43.1799,0.196424
0.76674,43.3623,0.27025
1.04817,44.4229,0.488758
2.26137,46.1828,0.281309
